iter	Passed	Remaining
820	3783	824
821	3811	825
822	3819	821
823	3826	817
824	3835	813
825	3844	809
826	3852	805
827	3858	801
828	3879	800
829	3883	795
830	3887	790
831	3892	785
832	3897	781
833	3903	776
834	3909	772
835	3915	768
836	3920	763
837	3926	759
838	3931	754
839	3936	749
840	3942	745
841	3946	740
842	3952	736
843	3958	731
844	3964	727
845	3970	722
846	3976	718
847	3983	713
848	3989	709
849	3995	705
850	4001	700
851	4006	695
852	4011	691
853	4016	686
854	4023	682
855	4029	677
856	4035	673
857	4040	668
858	4046	664
859	4051	659
860	4058	655
861	4063	650
862	4068	645
863	4073	641
864	4078	636
865	4083	631
866	4088	627
867	4093	622
868	4097	617
869	4102	613
870	4107	608
871	4111	603
872	4116	598
873	4121	594
874	4126	589
875	4130	584
876	4134	579
877	4139	575
878	4143	570
879	4148	565
880	4152	560
881	4156	556
882	4160	551
883	4165	546
884	4169	541
885	4174	537
886	4177	532
887	4182	527
888	4187	522
889	4191	518
890	4195	513
891	4200	508
892	4204	503
893	4208	498
894	4213	494
895	4217	489
896	4222	484
897	4226	480
898	4231	475
899	4236	470
900	4240	465
901	4245	461
902	4249	456
903	4253	451
904	4257	446
905	4261	442
906	4266	437
907	4273	432
908	4280	428
909	4287	424
910	4292	419
911	4296	414
912	4301	409
913	4305	405
914	4310	400
915	4315	395
916	4320	391
917	4324	386
918	4329	381
919	4334	376
920	4338	372
921	4343	367
922	4348	362
923	4352	358
924	4357	353
925	4362	348
926	4367	343
927	4371	339
928	4376	334
929	4381	329
930	4385	325
931	4391	320
932	4396	315
933	4400	310
934	4405	306
935	4410	301
936	4415	296
937	4419	292
938	4424	287
939	4429	282
940	4435	278
941	4441	273
942	4446	268
943	4452	264
944	4458	259
945	4465	254
946	4471	250
947	4477	245
948	4481	240
949	4486	236
950	4492	231
951	4498	226
952	4503	222
953	4509	217
954	4514	212
955	4520	208
956	4526	203
957	4532	198
958	4540	194
959	4546	189
960	4552	184
961	4558	180
962	4563	175
963	4570	170
964	4575	165
965	4580	161
966	4585	156
967	4591	151
968	4596	147
969	4601	142
970	4606	137
971	4611	132
972	4616	128
973	4620	123
974	4625	118
975	4629	113
976	4635	109
977	4640	104
978	4645	99
979	4650	94
980	4655	90
981	4660	85
982	4665	80
983	4670	75
984	4674	71
985	4679	66
986	4684	61
987	4689	56
988	4694	52
989	4700	47
990	4705	42
991	4709	37
992	4715	33
993	4721	28
994	4725	23
995	4730	18
996	4736	14
997	4740	9
998	4745	4
999	4752	0
